Title,Release Date,Description,Release Year
Avatar: The Last Airbender - The Burning Earth,2007-09-30,"A direct sequel to the first Avatar game, The Burning Earth takes place during the second book of the Avatar series. The game has gained notoriety for having the easiest achievements on the XBOX 360.",2007
Spider-Man: Friend or Foe,2007-10-02,Friend or Foe is a beat 'em up where Spider-Man teams up with his enemies to save the day and stop an unknown nemesis.,2007
Star Ocean: Till the End of Time,2003-02-27,"Star Ocean: Till the End of Time is the fourth game in the Star Ocean series. The game takes place 400 years after the third game, Star Ocean: Blue Sphere.",2003
Golden Knight GARO,2006-04-20,Golden Knight GARO is a hack &amp; slash video game based on a Japanese tokusatsu drama. It is published by Bandai and was released in 2006 in Japan only.,2006
The Bard's Tale,2004-10-26,"A comedic parody of RPG games, The Bard's Tale picks on the original Bard's Tale and Baldur's Gate considerably.  The ragamuffin Bard was voiced by veteran actor Cary Elwes.",2004
Baldur's Gate: Dark Alliance,2001-12-02,Baldur's Gate: Dark Alliance is an Action RPG adventure set in Dungeons and Dragons' Forgotten Realms universe.,2001
Red Baron,2005-11-25,Red Baron,2005
New Jinsei Game,2004-12-02,The third and final PS2 adaptation of the Japanese version of The Game of Life.,2004
EX Jinsei Game II,2003-11-06,The second PS2 adaptation of the Japanese version of The Game of Life.,2003
EX Jinsei Game,2002-03-07,The first PS2 adaptation of the Japanese version of the board game The Game of Life.,2002
EX Okuman Chouja Game,2001-12-27,A PS2 adaptation of the Japanese Monopoly-like board game Okuman Chouja Game.,2001
Guts da!! Mori no Ishimatsu,2005-03-31,,2005
Arena Football: Road to Glory,2007-02-20,"Rise through the ranks of either the Arena Football League or its ""af2"" minor league, both in their 2007 seasons, in this arena football game from EA Sports.",2007
Arena Football,2006-02-07,"An arena football game from the studio behind the Madden NFL series. Officially licensed by the AFL, it is the first game to accurately simulate the sport.",2006
Guitar Hero III: Legends of Rock,2007-10-28,"The fourth installment of the series (Guitar Hero: Rock the 80's being the 3rd) that single handedly revitalized the music-game genre, Guitar Hero III retains the core gameplay of its predecessors while delivering a more challenging experience.",2007
Kengo: Master of Bushido,2000-12-14,A 3D fighting game focusing on period-accurate kenjutsu in Genroku-era Japan. Train your swordsman using a variety of techniques and fight to become your dojo's champion.,2000
"Crouching Tiger, Hidden Dragon",2003-10-09,"An action-adventure video game adaptation of the award-winning wuxia film of the same name, following three martial artists in 19th century China as they seek the fabled sword ""Green Destiny"".",2003
Way of the Samurai,2002-02-07,"It is the beginning of Japan's Meiji Restoration, and a lone ronin gets caught in a feud between two samurai clans fighting over a small rural village in this action-adventure game from the studio behind the Tenchu series.",2002
Samurai Western,2005-01-01,"A spin-off of the Way of the Samurai series of samurai-themed action games, pitting a lone swordsman against gunslinging outlaws of the American Wild West.",2005
Dokapon Kingdom,2007-11-22,A hybrid RPG/board game that allows players to move around on a board more freely and battle other players.,2007
Homerun,2001-08-16,The third and final baseball title in the Magical Sports series,2001
Simple 2000 Series Ultimate Vol. 14: Touhai! Dramatic Mahjong - Ten: Tenhou-douri no Kaidanji,2003-12-11,"A video game adaptation of the mahjong manga Ten: Tenhou-douri no Kaidanji, following the manga's story with special rules and character abilities.",2003
Billiards Xciting,2002-11-14,"A pool game for the PS2, featuring six game modes and a trick shot mode. It was released as part of the Simple series in Japan and as part of the Xciting series in Europe.",2002
Toukon Inoki Michi: Puzzle de Daa!,2002-12-19,,2002
Aqua Aqua,2000-11-02,A sequel to the 1998 isometric falling-block puzzle game Wetrix.,2000
Bombastic,2002-12-19,"In this sequel to Devil Dice, players use explosive dice to clear the board and solve puzzles.",2002
Cool Shot,2003-01-23,A PS2 billiards game by DigiCube.,2003
Marvel Ultimate Alliance,2006-10-24,Take control of some of the most iconic superheroes of the Marvel Universe in this squad-based RPG. Form a well known group such as the Fantastic Four or create your own custom group of heroes to battle Dr. Doom and the Masters of Evil.,2006
Marvel Ultimate Alliance 2,2009-09-15,"Beginning with the events of Marvel's Secret War and going into Civil War, players will take control of several Marvel characters in this follow up to the first Ultimate Alliance game.",2009
Battlefield 2: Modern Combat,2005-10-24,"The Battlefield series' first foray into console gaming, bringing its larger-scale modern-military combat to the PS2 and Xbox.",2005
Killzone,2004-11-02,Fight back against the Helghast invasion with your four man squad to save the Vektan colony.,2004
Tokimeki Memorial 3,2001-12-20,The third entry in the Tokimeki Memorial series that shifted from the franchise's usual 2D character portraits to fully polygonal models.,2001
Mortal Kombat,1992-08-22,"By combining digitized character graphics and extreme violence, Midway's 1992 fighter revolutionized the U.S. fighting game genre, spawned a long-running series, and helped create controversy regarding video game violence.",1992
Hard Hitter Tennis,2001-06-28,A tennis game by Magical Company and part of their Magical Sports series.,2001
Hard Hitter 2,2002-02-07,The sequel to Magical Company's tennis game Hard Hitter.,2002
